title,page-length
"Programming Embedded Systems in C and C++",174
"Programming Languages: Implementations, Logics, and Programs",478
"Drum Programming Basic"s,56
"Understanding and Using Linear Programming",226
"Object-Oriented Programming and Java",322
"Python Programming",517
"Concepts in Programming Languages",529
"Programming and Problem Solving Through "C" Language",291
"Linear and Integer Programming",656
"SIMD Programming Manual for Linux and Windows",351
"Integer Programming and Network Models",504
"Programming Languages: Principles and Paradigms",440
"Learning Programming Using MATLA"B,81
"Erlang Programming",498
"Functional Programming and Its Applications",306
"Access 2007 Programming by Example with VBA, XML, and ASP",938
"Beginning Object-Oriented Programming with VB 2005",384
"Core PHP Programming",1072
"ECOOP '97 - Object-Oriented Programming",529
"Programming Languages",282
"Applied Optimization with MATLAB Programming",526
"Effective Leadership in Adventure Programming, 3E",448
"Advances in Genetic Programming",518
"Subrecursive Programming Systems",253
"Mathematical Programming",360
"Network Programming & Management",164
"Programming In C",400
"Multiple Criteria and Multiple Constraint Levels Linear Programming",517
"An Advanced Logic Programming Language",392
"Programming in Visual Basic",200
"Genetic Programming",363
"Computer Concepts and Programming in C",516
"Programming in Prolog",299
"Introduction to Windows and Graphics Programming with Visual C++.NET",338
"Constraint and Integer Programming",370
"Entropy Optimization and Mathematical Programming",343
"Integer Programming and Combinatorial Optimization",475
"Reflections on the Teaching of Programming",261
"Violent Television Programming and Its Impact on Childre"n,39
"Elementary Linear Programming with Applications",449
"Python Programming Fundamentals",241
"Java Server Programming Java Ee5 Black Book, Platinum Ed (With Cd)",1748
"Multithreaded Programming with Java Technology",461
"Object Oriented Programming Using C++",470
"Component-Oriented Programming",336
"Engaged Learning for Programming in C++",365
"Advanced Functional Programming",331
"Implementations of Logic Programming Systems",262
"Sams Teach Yourself Beginning Programming in 24 Hours",479
"Complete Maya Programming",503
"Functional and Logic Programming",355
"Introduction to Functional Programming Systems Using Haskell",290
"Essentials of Programming Languages",389
"Bluetooth Application Programming with the Java APIs Essentials Edition",304
"Programming Multi-Agent Systems",267
"Extreme Programming and Agile Methods - XP/Agile Universe 2003",213
"Logic Programming",425
"Masterminds of Programming",496
"Programming Language Pragmatics",875
"Object-oriented programming with C++",483
"Theory and Practice of Uncertain Programming",202
"An Intermediate Guide to SPSS Programming",233
"Functional and Logic Programming",298
"Programming and Assessment for Quality Teaching and Learning",267
"iPhone 3D Programming",440
"Principles and Practice of Constraint Programming - CP 2007",887
"C Programming: The Essentials for Engineers and Scientists",479
"Guidance for Cost Estimation and Management for Highway Projects During Planning, Programming, and Preconstruction",97
"Evolutionary Programming IV",805
"Programming With Java:A Primer 3E",490
"LOGLAN '88 - Report on the Programming Language",135
"Pair Programming Illuminated",265
"Multi-Agent Programming",296
"Programming in Scala",736
"Programming The Web",548
"Genetic Programming",819
"Sams Teach Yourself Game Programming in 24 Hours",488
"Programming Mobile Devices",244
"Principles and Practice of Constraint Programming",360
"Multiobjective Programming and Goal Programming",298
"Genetic Programming IV",590
"S Programming",264
"Logic Programming",826
"Discrete and Fractional Programming Techniques for Location Models",180
"Integration of AI and OR Techniques in Constraint Programming for Combinatorial Optimization Problems",332
"Programming Language Implementation and Logic Programming",468
"Fundmentals Of Programming",450
"Excel 2007 VBA Programming with XML and ASP",879
"Java Programming with Oracle JDBC",477
"Practical Database Programming With Visual C#.NET",800
"Programming Distributed Systems",282
"Concepts, Techniques, and Models of Computer Programming",900
"Guide to Assembly Language Programming in Linux",545
"Programming in Objective-C",704
"Practical IDL Programming",508
"The Gödel Programming Language",348
"Extensions of Logic Programming",318
"Programming and Problem Solving with ADA 95",919
"ASSEMBLY LANGUAGE PROGRAMMING IN GNU/LINUS FOR IA32 ARCHITECTURES",468
"Modular Programming Languages",414
"On Concurrent Programming",473
"Genetic Programming",336
"Absolute Beginner's Guide to Programming",416
"7 Easy Steps to CNC Programming. . .A Beginner's Guid"e,66
"XLIB Programming Manual, Rel. 5",783
"Handbook of Logic in Artificial Intelligence and Logic Programming: Volume 5: Logic Programming",814
"Planning Extreme Programming",139
"Oracle Pl/Sql Programming In Simple Steps",272
"Data Mining and Mathematical Programming",234
"Extensions of Logic Programming",417
"Principles and Practice of Declarative Programming",442
"Dynamic Programming",624
